Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[19]     0.7    0.34    0.00  266613+665893  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>) [19]
                              665893             void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>) [19]
-----------------------------------------------
                0.01    0.00       6/86          Game::log_move(Move) [25]
                0.14    0.00      80/86          thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*) [1]
[20]     0.3    0.15    0.00      86         void std::vector<Move, std::allocator<Move> >::_M_realloc_insert<Move const&>(__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >, Move const&) [20]
-----------------------------------------------
                               94394             void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>) [21]
                0.04    0.00   51208/51208       minimax(Game&, int, int, int, Move*) [4]
[21]     0.1    0.04    0.00   51208+94394   void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>) [21]
                               94394             void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>) [21]
-----------------------------------------------
                0.00    0.02       7/7           call_minimax_IDS_fast(Game&) [14]
[22]     0.0    0.00    0.02       7         call_minimax_fast(Game&) [22]
                0.02    0.00       7/7           std::vector<std::shared_ptr<std::atomic<bool> >, std::allocator<std::shared_ptr<std::atomic<bool> > > >::_M_default_append(unsigned long) [23]
                0.00    0.00       7/364119      Game::get_all_moves(bool) [8]
                0.00    0.00     250/250         std::__future_base::_State_baseV2::_M_complete_async() [124]
                0.00    0.00     250/250         std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_M_destroy() [125]
                0.00    0.00     248/248         std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_M_dispose() [126]
                0.00    0.00     246/246         std::__future_base::_Result<void>::~_Result() [127]
                0.00    0.00     129/129         std::future<decltype ({parm#1}(0, {parm#2}...))> ctpl::thread_pool::push<void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*, int*, int*, Move*>(void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*&&, int*&&, int*&&, Move*&&) [132]
                0.00    0.00     112/112         std::_Sp_counted_ptr_inplace<std::atomic<bool>, std::allocator<std::atomic<bool> >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() [137]
                0.00    0.00     112/112         std::_Sp_counted_ptr_inplace<std::atomic<bool>, std::allocator<std::atomic<bool> >, (__gnu_cxx::_Lock_policy)2>::_M_destroy() [136]
                0.00    0.00       7/7           std::vector<std::unique_ptr<std::thread, std::default_delete<std::thread> >, std::allocator<std::unique_ptr<std::thread, std::default_delete<std::thread> > > >::_M_default_append(unsigned long) [198]
-----------------------------------------------
                0.02    0.00       7/7           call_minimax_fast(Game&) [22]
[23]     0.0    0.02    0.00       7         std::vector<std::shared_ptr<std::atomic<bool> >, std::allocator<std::shared_ptr<std::atomic<bool> > > >::_M_default_append(unsigned long) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     0.0    0.02    0.00                 Piece::can_capture(Piece*) [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     0.0    0.00    0.01                 Game::log_move(Move) [25]
                0.01    0.00       6/86          void std::vector<Move, std::allocator<Move> >::_M_realloc_insert<Move const&>(__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >, Move const&) [20]
                0.00    0.00      26/6801318     Piece::find_valid_moves(Game&, Position (&) [27]) [5]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.0    0.01    0.00                 Game::switch_turns[abi:cxx11]() [26]
                0.00    0.00      26/1905382     Game::check_for_winner(bool) [9]
-----------------------------------------------
                0.00    0.00      31/125         ImGui::RenderTextClippedEx(ImDrawList*, ImVec2 const&, ImVec2 const&, char const*, char const*, ImVec2 const*, ImVec2 const&, ImRect const*) [38]
                0.01    0.00      94/125         ImGui::RenderWindowDecorations(ImGuiWindow*, ImRect const&, bool, bool, int, unsigned int const*, float) [clone .constprop.0] [35]
[27]     0.0    0.01    0.00     125         ImGui::ColorConvertFloat4ToU32(ImVec4 const&) [27]
-----------------------------------------------
                0.00    0.01      31/31          ImGui::NewFrame() [34]
[28]     0.0    0.00    0.01      31         ImGui::Begin(char const*, bool*, int) [28]
                0.00    0.01      62/62          ImGui::RenderWindowDecorations(ImGuiWindow*, ImRect const&, bool, bool, int, unsigned int const*, float) [clone .constprop.0] [35]
                0.00    0.00      31/31          ImGui::RenderTextClippedEx(ImDrawList*, ImVec2 const&, ImVec2 const&, char const*, char const*, ImVec2 const*, ImVec2 const&, ImRect const*) [38]
                0.00    0.00     124/124         CalcWindowSizeAfterConstraint(ImGuiWindow*, ImVec2 const&) [133]
                0.00    0.00     124/124         ImDrawList::_OnChangedClipRect() [135]
                0.00    0.00     124/124         ImDrawList::PushClipRect(ImVec2 const&, ImVec2 const&, bool) [134]
                0.00    0.00      62/62          ImGui::FindWindowByName(char const*) [151]
                0.00    0.00      62/62          ImGui::UpdateWindowParentAndRootLinks(ImGuiWindow*, int, ImGuiWindow*) [152]
                0.00    0.00      62/62          ImDrawList::_ResetForNewFrame() [148]
                0.00    0.00      62/93          SetCurrentWindow(ImGuiWindow*) [138]
                0.00    0.00      62/62          CalcNextScrollFromScrollTargetAndClamp(ImGuiWindow*) [145]
                0.00    0.00      62/62          ImDrawList::PushTextureID(void*) [147]
                0.00    0.00      62/62          ImGuiMenuColumns::Update(float, bool) [150]
                0.00    0.00      62/62          ImGui::UpdateWindowManualResize(ImGuiWindow*, ImVec2 const&, int*, int, unsigned int*, ImRect const&) [155]
                0.00    0.00      31/31          ImGui::SetWindowSize(ImGuiWindow*, ImVec2 const&, int) [168]
                0.00    0.00      31/3999        ImDrawList::AddDrawCmd() [100]
                0.00    0.00      31/31          ImGui::GetIDWithSeed(int, unsigned int) [167]
                0.00    0.00      31/31          ImGui::CollapseButton(unsigned int, ImVec2 const&) [169]
                0.00    0.00      31/31          ImFont::CalcTextSizeA(float, float, float, char const*, char const*, char const**) const [180]
                0.00    0.00       6/1180        ImGui::MemAlloc(unsigned long) [117]
                0.00    0.00       2/2           ImGui::BringWindowToDisplayFront(ImGuiWindow*) [217]
                0.00    0.00       2/2           ImGui::FocusWindow(ImGuiWindow*, int) [209]
                0.00    0.00       2/2           ImGui::NavInitWindow(ImGuiWindow*, bool) [211]
                0.00    0.00       2/2           ImGuiWindow::ImGuiWindow(ImGuiContext*, char const*) [205]
                0.00    0.00       2/2           ImGuiStorage::SetVoidPtr(unsigned int, void*) [207]
                0.00    0.00       2/4           ImGui::FindWindowSettingsByID(unsigned int) [200]
-----------------------------------------------
                0.00    0.01       1/1           ImGui_ImplOpenGL3_CreateDeviceObjects() [32]
[29]     0.0    0.00    0.01       1         ImGui_ImplOpenGL3_CreateFontsTexture() [29]
                0.00    0.01       1/1           ImFontAtlas::GetTexDataAsRGBA32(unsigned char**, int*, int*, int*) [31]
                0.00    0.00       2/335         ImGui::GetIO() [122]
                0.00    0.00       1/201         ImGui::GetCurrentContext() [131]
-----------------------------------------------
                0.01    0.00       1/1           ImFontAtlas::GetTexDataAsRGBA32(unsigned char**, int*, int*, int*) [31]
[30]     0.0    0.01    0.00       1         ImFontAtlasBuildWithStbTruetype(ImFontAtlas*) [30]
                0.00    0.00    1614/1614        stbtt__fill_active_edges_new(float*, float*, int, stbtt__active_edge*, float) [114]
                0.00    0.00    1088/1188        FreeWrapper(void*, void*) [115]
                0.00    0.00    1088/1179        ImGui::MemFree(void*) [118]
                0.00    0.00     866/1180        ImGui::MemAlloc(unsigned long) [117]
                0.00    0.00     670/15590       stbtt__close_shape(stbtt_vertex*, int, int, int, int, int, int, int, int, int) [96]
                0.00    0.00     669/669         stbtt_GetGlyphBitmapBoxSubpixel.constprop.0 [40]
                0.00    0.00     223/223         stbtt__GetGlyphShapeTT(stbtt_fontinfo const*, int, stbtt_vertex**) [128]
                0.00    0.00     223/223         ImFont::AddGlyph(ImFontConfig const*, unsigned short, float, float, float, float, float, float, float, float, float) [129]
                0.00    0.00     214/214         stbtt__sort_edges_quicksort(stbtt__edge*, int) [130]
                0.00    0.00       1/1           ImFontAtlasBuildInit(ImFontAtlas*) [224]
                0.00    0.00       1/1           stbtt_InitFont_internal(stbtt_fontinfo*, unsigned char*, int) [230]
                0.00    0.00       1/1           ImFontAtlasBuildPackCustomRects(ImFontAtlas*, void*) [226]
                0.00    0.00       1/20646       stbrp_pack_rects [39]
                0.00    0.00       1/1           ImFontAtlasBuildFinish(ImFontAtlas*) [225]
-----------------------------------------------
                0.00    0.01       1/1           ImGui_ImplOpenGL3_CreateFontsTexture() [29]
[31]     0.0    0.00    0.01       1         ImFontAtlas::GetTexDataAsRGBA32(unsigned char**, int*, int*, int*) [31]
                0.01    0.00       1/1           ImFontAtlasBuildWithStbTruetype(ImFontAtlas*) [30]
                0.00    0.00       1/1180        ImGui::MemAlloc(unsigned long) [117]
                0.00    0.00       1/1           ImFontAtlas::AddFontDefault(ImFontConfig const*) [239]
-----------------------------------------------
                                                 <spontaneous>
[32]     0.0    0.00    0.01                 ImGui_ImplOpenGL3_CreateDeviceObjects() [32]
                0.00    0.01       1/1           ImGui_ImplOpenGL3_CreateFontsTexture() [29]
                0.00    0.00       2/201         ImGui::GetCurrentContext() [131]
                0.00    0.00       2/335         ImGui::GetIO() [122]
                0.00    0.00       2/2           CheckShader(unsigned int, char const*) [201]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.0    0.01    0.00                 ImGui::BeginTable(char const*, int, int, ImVec2 const&, float) [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.0    0.00    0.01                 ImGui::NewFrame() [34]
                0.00    0.01      31/31          ImGui::Begin(char const*, bool*, int) [28]
                0.00    0.00      31/31          ImGui::UpdateInputEvents(bool) [172]
                0.00    0.00      31/31          ImGui::SetCurrentFont(ImFont*) [171]
                0.00    0.00      31/31          ImDrawListSharedData::SetCircleTessellationMaxError(float) [164]
                0.00    0.00      31/31          ImGui::NavUpdate() [178]
                0.00    0.00      31/31          ImGui::UpdateHoveredWindowAndCaptureFlags() [175]
                0.00    0.00      31/31          ImGui::UpdateMouseMovingWindowNewFrame() [174]
                0.00    0.00       1/1188        FreeWrapper(void*, void*) [115]
                0.00    0.00       1/1           ImGui::LoadIniSettingsFromDisk(char const*) [252]
                0.00    0.00       1/1180        ImGui::MemAlloc(unsigned long) [117]
-----------------------------------------------
                0.00    0.01      62/62          ImGui::Begin(char const*, bool*, int) [28]
[35]     0.0    0.00    0.01      62         ImGui::RenderWindowDecorations(ImGuiWindow*, ImRect const&, bool, bool, int, unsigned int const*, float) [clone .constprop.0] [35]
                0.01    0.00      94/125         ImGui::ColorConvertFloat4ToU32(ImVec4 const&) [27]
                0.00    0.00      93/4061        ImDrawList::AddRectFilled(ImVec2 const&, ImVec2 const&, unsigned int, float, int) [99]
                0.00    0.00       1/1           ImDrawList::AddRect(ImVec2 const&, ImVec2 const&, unsigned int, float, int, float) [236]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.0    0.01    0.00                 Game::initialize_board() [36]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.0    0.01    0.00                 Game::capture(Piece*) [37]
-----------------------------------------------
                0.00    0.00      31/31          ImGui::Begin(char const*, bool*, int) [28]
[38]     0.0    0.00    0.00      31         ImGui::RenderTextClippedEx(ImDrawList*, ImVec2 const&, ImVec2 const&, char const*, char const*, ImVec2 const*, ImVec2 const&, ImRect const*) [38]
                0.00    0.00      31/125         ImGui::ColorConvertFloat4ToU32(ImVec4 const&) [27]
                0.00    0.00      31/31          ImDrawList::AddText(ImFont const*, float, ImVec2 const&, unsigned int, char const*, char const*, float, ImVec4 const*) [163]
-----------------------------------------------
                0.00    0.00       1/20646       ImFontAtlasBuildPackCustomRects(ImFontAtlas*, void*) [226]
                0.00    0.00       1/20646       ImFontAtlasBuildWithStbTruetype(ImFontAtlas*) [30]
                0.00    0.00   20644/20646       stbtt__fill_active_edges_new(float*, float*, int, stbtt__active_edge*, float) [114]
[39]     0.0    0.00    0.00   20646         stbrp_pack_rects [39]
                0.00    0.00   11759/15590       stbtt__close_shape(stbtt_vertex*, int, int, int, int, int, int, int, int, int) [96]
-----------------------------------------------
                0.00    0.00     669/669         ImFontAtlasBuildWithStbTruetype(ImFontAtlas*) [30]
[40]     0.0    0.00    0.00     669         stbtt_GetGlyphBitmapBoxSubpixel.constprop.0 [40]
                0.00    0.00     669/892         stbtt__GetGlyfOffset(stbtt_fontinfo const*, int) [119]
-----------------------------------------------
                0.00    0.00       1/1           ImGui_ImplOpenGL3_Init(char const*) [296]
[41]     0.0    0.00    0.00       1         parse_version [41]
-----------------------------------------------
                0.00    0.00     670/15590       ImFontAtlasBuildWithStbTruetype(ImFontAtlas*) [30]
                0.00    0.00    3161/15590       stbtt__GetGlyphShapeTT(stbtt_fontinfo const*, int, stbtt_vertex**) [128]
                0.00    0.00   11759/15590       stbrp_pack_rects [39]
[96]     0.0    0.00    0.00   15590         stbtt__close_shape(stbtt_vertex*, int, int, int, int, int, int, int, int, int) [96]
-----------------------------------------------
                0.00    0.00     325/13303       lookupMove(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&) [186]
                0.00    0.00   12978/13303       buildOpeningTree() [223]
[97]     0.0    0.00    0.00   13303         OpeningNode::next(char*) [97]
-----------------------------------------------
                                  32             ImDrawList::PrimReserve(int, int) [98]
                0.00    0.00       1/6079        ImDrawList::AddRect(ImVec2 const&, ImVec2 const&, unsigned int, float, int, float) [236]
                0.00    0.00      31/6079        ImFont::RenderText(ImDrawList*, float, ImVec2 const&, unsigned int, ImVec4 const&, char const*, char const*, float, bool) const [179]
                0.00    0.00      31/6079        ImGui::RenderArrow(ImDrawList*, ImVec2, unsigned int, int, float) [165]
                0.00    0.00    1984/6079        ImDrawList::AddImage(void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec2 const&, unsigned int) [109]
                0.00    0.00    4032/6079        ImDrawList::AddRectFilled(ImVec2 const&, ImVec2 const&, unsigned int, float, int) [99]
[98]     0.0    0.00    0.00    6079+32      ImDrawList::PrimReserve(int, int) [98]
                0.00    0.00      37/1180        ImGui::MemAlloc(unsigned long) [117]
                0.00    0.00      32/1188        FreeWrapper(void*, void*) [115]
                0.00    0.00      32/1179        ImGui::MemFree(void*) [118]
                                  32             ImDrawList::PrimReserve(int, int) [98]
-----------------------------------------------
                0.00    0.00      93/4061        ImGui::RenderWindowDecorations(ImGuiWindow*, ImRect const&, bool, bool, int, unsigned int const*, float) [clone .constprop.0] [35]
                0.00    0.00    1984/4061        ImGui::RenderFrame(ImVec2, ImVec2, unsigned int, bool, float) [111]
                0.00    0.00    1984/4061        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[99]     0.0    0.00    0.00    4061         ImDrawList::AddRectFilled(ImVec2 const&, ImVec2 const&, unsigned int, float, int) [99]
                0.00    0.00    4032/6079        ImDrawList::PrimReserve(int, int) [98]
-----------------------------------------------
                0.00    0.00      31/3999        ImGui::Begin(char const*, bool*, int) [28]
                0.00    0.00    1984/3999        ImDrawList::AddImage(void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec2 const&, unsigned int) [109]
                0.00    0.00    1984/3999        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[100]    0.0    0.00    0.00    3999         ImDrawList::AddDrawCmd() [100]
                0.00    0.00       7/1180        ImGui::MemAlloc(unsigned long) [117]
                0.00    0.00       7/1188        FreeWrapper(void*, void*) [115]
                0.00    0.00       7/1179        ImGui::MemFree(void*) [118]
-----------------------------------------------
                0.00    0.00    1984/3968        ImDrawList::AddImage(void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec2 const&, unsigned int) [109]
                0.00    0.00    1984/3968        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[101]    0.0    0.00    0.00    3968         ImDrawList::_OnChangedTextureID() [101]
-----------------------------------------------
                0.00    0.00    3968/3968        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[102]    0.0    0.00    0.00    3968         ImGui::GetColorU32(ImVec4 const&) [102]
-----------------------------------------------
                0.00    0.00    3816/3816        buildOpeningTree() [223]
[103]    0.0    0.00    0.00    3816         void std::vector<OpeningNode*, std::allocator<OpeningNode*> >::_M_realloc_insert<OpeningNode*>(__gnu_cxx::__normal_iterator<OpeningNode**, std::vector<OpeningNode*, std::allocator<OpeningNode*> > >, OpeningNode*&&) [103]
-----------------------------------------------
                0.00    0.00      62/2046        ImGui::CollapseButton(unsigned int, ImVec2 const&) [169]
                0.00    0.00    1984/2046        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[104]    0.0    0.00    0.00    2046         ImGui::GetColorU32(int, float) [104]
-----------------------------------------------
                0.00    0.00       1/2020        ImGui::TableSettingsAddSettingsHandler() [256]
                0.00    0.00       2/2020        ImGui::CreateNewWindowSettings(char const*) [216]
                0.00    0.00       2/2020        ImGuiWindow::ImGuiWindow(ImGuiContext*, char const*) [205]
                0.00    0.00      31/2020        ImGui::GetIDWithSeed(int, unsigned int) [167]
                0.00    0.00    1984/2020        ImGuiWindow::GetID(char const*, char const*) [110]
[105]    0.0    0.00    0.00    2020         ImHashStr(char const*, unsigned long, unsigned int) [105]
-----------------------------------------------
                0.00    0.00    2015/2015        ImGui::ButtonBehavior(ImRect const&, unsigned int, bool*, bool*, int) [107]
[106]    0.0    0.00    0.00    2015         ImGui::ItemHoverable(ImRect const&, unsigned int, int) [106]
-----------------------------------------------
                0.00    0.00      31/2015        ImGui::CollapseButton(unsigned int, ImVec2 const&) [169]
                0.00    0.00    1984/2015        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[107]    0.0    0.00    0.00    2015         ImGui::ButtonBehavior(ImRect const&, unsigned int, bool*, bool*, int) [107]
                0.00    0.00    2015/2015        ImGui::ItemHoverable(ImRect const&, unsigned int, int) [106]
                0.00    0.00      29/29          ImGui::IsMouseClicked(int, unsigned int, int) [184]
                0.00    0.00      29/29          ImGui::IsMouseReleased(int, unsigned int) [185]
-----------------------------------------------
                0.00    0.00      31/2015        ImGui::CollapseButton(unsigned int, ImVec2 const&) [169]
                0.00    0.00    1984/2015        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[108]    0.0    0.00    0.00    2015         ImGui::ItemAdd(ImRect const&, unsigned int, ImRect const*, int) [108]
                0.00    0.00       1/1           ImGui::NavApplyItemToResult(ImGuiNavItemData*) [259]
-----------------------------------------------
                0.00    0.00    1984/1984        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[109]    0.0    0.00    0.00    1984         ImDrawList::AddImage(void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec2 const&, unsigned int) [109]
                0.00    0.00    1984/3999        ImDrawList::AddDrawCmd() [100]
                0.00    0.00    1984/3968        ImDrawList::_OnChangedTextureID() [101]
                0.00    0.00    1984/6079        ImDrawList::PrimReserve(int, int) [98]
-----------------------------------------------
                0.00    0.00    1984/1984        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[110]    0.0    0.00    0.00    1984         ImGuiWindow::GetID(char const*, char const*) [110]
                0.00    0.00    1984/2020        ImHashStr(char const*, unsigned long, unsigned int) [105]
-----------------------------------------------
                0.00    0.00    1984/1984        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[111]    0.0    0.00    0.00    1984         ImGui::RenderFrame(ImVec2, ImVec2, unsigned int, bool, float) [111]
                0.00    0.00    1984/4061        ImDrawList::AddRectFilled(ImVec2 const&, ImVec2 const&, unsigned int, float, int) [99]
-----------------------------------------------
                0.00    0.00    1984/1984        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[112]    0.0    0.00    0.00    1984         ImGui::RenderNavHighlight(ImRect const&, unsigned int, int) [112]
-----------------------------------------------
                0.00    0.00    1984/1984        ImGui::ImageButton(char const*, void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec4 const&, ImVec4 const&) [600]
[113]    0.0    0.00    0.00    1984         ImGui::ItemSize(ImVec2 const&, float) [113]
-----------------------------------------------
                0.00    0.00    1614/1614        ImFontAtlasBuildWithStbTruetype(ImFontAtlas*) [30]
[114]    0.0    0.00    0.00    1614         stbtt__fill_active_edges_new(float*, float*, int, stbtt__active_edge*, float) [114]
                0.00    0.00   20644/20646       stbrp_pack_rects [39]
-----------------------------------------------
                0.00    0.00       1/1188        ImGui::CreateNewWindowSettings(char const*) [216]
                0.00    0.00       1/1188        WindowSettingsHandler_WriteAll(ImGuiContext*, ImGuiSettingsHandler*, ImGuiTextBuffer*) [234]
                0.00    0.00       1/1188        ImGui::NewFrame() [34]
                0.00    0.00       1/1188        ImFontAtlas::AddFontFromMemoryCompressedBase85TTF(char const*, float, ImFontConfig const*, unsigned short const*) [242]
                0.00    0.00       1/1188        ImFontAtlasBuildPackCustomRects(ImFontAtlas*, void*) [226]
                0.00    0.00       3/1188        ImFontAtlas::ClearInputData() [240]
                0.00    0.00       4/1188        ImGuiWindow::~ImGuiWindow() [206]
                0.00    0.00       6/1188        ImGuiContext::~ImGuiContext() [247]
                0.00    0.00       7/1188        ImDrawList::AddDrawCmd() [100]
                0.00    0.00       7/1188        ImFontAtlas::Clear() [243]
                0.00    0.00       9/1188        ImFont::AddGlyph(ImFontConfig const*, unsigned short, float, float, float, float, float, float, float, float, float) [129]
                0.00    0.00      11/1188        ImDrawList::_ClearFreeMemory() [203]
                0.00    0.00      16/1188        ImGui::Shutdown() [258]
                0.00    0.00      32/1188        ImDrawList::PrimReserve(int, int) [98]
                0.00    0.00    1088/1188        ImFontAtlasBuildWithStbTruetype(ImFontAtlas*) [30]
[115]    0.0    0.00    0.00    1188         FreeWrapper(void*, void*) [115]
-----------------------------------------------
                0.00    0.00       1/1182        ImGui::Initialize() [249]
                0.00    0.00       1/1182        ImGui::CreateContext(ImFontAtlas*) [697]
                0.00    0.00    1180/1182        ImGui::MemAlloc(unsigned long) [117]
[116]    0.0    0.00    0.00    1182         MallocWrapper(unsigned long, void*) [116]
-----------------------------------------------
                0.00    0.00       1/1180        ImGui::PushStyleVar(int, float) [666]
                0.00    0.00       1/1180        ImGui::PushStyleColor(int, ImVec4 const&) [763]
                0.00    0.00       1/1180        ImGuiIO::AddMousePosEvent(float, float) [218]
                0.00    0.00       1/1180        ImGuiStorage::SetVoidPtr(unsigned int, void*) [207]
                0.00    0.00       1/1180        ImGui::AddSettingsHandler(ImGuiSettingsHandler const*) [213]
                0.00    0.00       1/1180        ImGui::LoadIniSettingsFromMemory(char const*, unsigned long) [254]
                0.00    0.00       1/1180        ImGui::LoadIniSettingsFromDisk(char const*) [252]
